Month,Revenue,change,Coffee
January,$2253.72,-$206.22,Americano
January,$965.52,-$393.36,Cappuccino
January,$500.64,-$250.32,Cocoa
January,$571.12,-$233.64,Cortado
January,$105.3,-$147.42,Espresso
January,$536.4,-$393.36,Hot Chocolate
January,$1466.16,-$214.56,Latte
February,$5660.42,$3406.7,Americano
February,$1859.52,$894,Cappuccino
February,$2002.56,$1501.92,Cocoa
February,$259.6,-$311.52,Cortado
February,$358.02,$252.72,Espresso
February,$1144.32,$607.92,Hot Chocolate
February,$1931.04,$464.88,Latte
March,$6451.44,$791.02,Americano
March,$2318.18,$458.66,Cappuccino
March,$1305,-$697.56,Cocoa
March,$921.12,$661.52,Cortado
March,$451.6,$93.58,Espresso
March,$1676.48,$532.16,Hot Chocolate
March,$3912.82,$1981.78,Latte
April,$2409.68,-$4041.76,Americano
April,$1659.44,-$658.74,Cappuccino
April,$232.82,-$1072.18,Cocoa
April,$548.48,-$372.64,Cortado
April,$171,-$280.6,Espresso
April,$506.02,-$1170.46,Hot Chocolate
April,$1193.12,-$2719.7,Latte
May,$3257.08,$847.4,Americano
May,$2078.44,$419,Cappuccino
May,$340.76,$107.94,Cocoa
May,$474.64,-$73.84,Cortado
May,$185.14,$14.14,Espresso
May,$529.36,$23.34,Hot Chocolate
May,$2198,$1004.88,Latte
June,$2659,-$598.08,Americano
June,$1735.12,-$343.32,Cappuccino
June,$189.88,-$150.88,Cocoa
June,$530.48,$55.84,Cortado
June,$230.2,$45.06,Espresso
June,$528.08,-$1.28,Hot Chocolate
June,$1886,-$312,Latte
July,$2721.92,$62.92,Americano
July,$1079.64,-$655.48,Cappuccino
July,$300.28,$110.4,Cocoa
July,$322.28,-$208.2,Cortado
July,$273.28,$43.08,Espresso
July,$361.02,-$167.06,Hot Chocolate
July,$1857.52,-$28.48,Latte
August,$2861.98,$140.06,Americano
August,$1115.88,$36.24,Cappuccino
August,$361.02,$60.74,Cocoa
August,$920.8,$598.52,Cortado
August,$253.68,-$19.6,Espresso
August,$196.92,-$164.1,Hot Chocolate
August,$1903.56,$46.04,Latte
September,$3669.72,$807.74,Americano
September,$1360.32,$244.44,Cappuccino
September,$298.32,-$62.7,Cocoa
September,$961.46,$40.66,Cortado
September,$217.44,-$36.24,Espresso
September,$366.9,$169.98,Hot Chocolate
September,$3114.48,$1210.92,Latte
October,$3672.76,$3.04,Americano
October,$1573.44,$213.12,Cappuccino
October,$1144.32,$846,Cocoa
October,$882.64,-$78.82,Cortado
October,$252.72,$35.28,Espresso
October,$2074.08,$1707.18,Hot Chocolate
October,$4291.2,$1176.72,Latte
November,$2253.72,-$1419.04,Americano
November,$929.76,-$643.68,Cappuccino
November,$1251.6,$107.28,Cocoa
November,$337.48,-$545.16,Cortado
November,$63.18,-$189.54,Espresso
November,$1323.12,-$750.96,Hot Chocolate
November,$2431.68,-$1859.52,Latte
December,$2459.94,$206.22,Americano
December,$1358.88,$429.12,Cappuccino
December,$750.96,-$500.64,Cocoa
December,$804.76,$467.28,Cortado
December,$252.72,$189.54,Espresso
December,$929.76,-$393.36,Hot Chocolate
December,$1680.72,-$750.96,Latte
